role,op,gas,blockNumber,txHash,daily_baseline,rationale,note
"Advertiser","createCampaign",383863,57,0x38cc42e3996e70088d17b80a81e00ea6e97263a6b855dc8dc02f1c4935a672fb,0.14285714285714285,"1 campaign per advertiser per week",""
"Advertiser","vote (own campaign, aye)",215824,58,0x82da473b9510760d1fbe68ba6152ce727b9d899e532918aec934eedc68689d12,0.14285714285714285,"1 self-vote per campaign created",""
"Advertiser","challengeBonds.openBond",0,,,0.14285714285714285,"1 bond per new campaign","SKIPPED: VM Exception while processing transaction: reverted with reason string 'E18'"
"Publisher","registerPublisher",90697,61,0x26808dd5c0ce0af285b4101a2878aa2964b63588db8a58b1fe3f18dff4f07e74,0.0027397260273972603,"Once per publisher per year",""
"Publisher","setRelaySigner",80743,62,0x088e7ac76cc68354ca4a200f346274180dbdf7a99396ab430a3e1877428eff59,0.03333333333333333,"Monthly key rotation",""
"Publisher","setProfile",59536,63,0x4771d7c1254753442681d85449c146e3cd9f462a5d3040e5d44d12cec8b81e4f,0.03333333333333333,"Monthly profile refresh",""
"Publisher","publisherStake.stake",47683,64,0xd8a3d4f79e54b68eca1847986c32b6ad9d6a1c39057ffeb5f736d2da51a7d117,0.03333333333333333,"Monthly stake top-up",""
"Relay","settleClaims (1 claim × 100 imps)",442830,99,0xc02eaebb5501b468eb90dbb02d789fa5caab4a14449d413b06dbdb29ecbc10c9,,,""
"Relay","settleClaims (5 claims × 100 imps)",576138,134,0x75d2fb2c376248f78bbd53264b26339e7f13db01442a68e831eb7b6b938fbe47,24,"Hourly settlement at typical batch size",""
"Relay","settleClaims (10 claims × 100 imps)",828229,169,0xcc8604f84b723da7d1c39cbf0198897c40bec0c407e172ca85c83d61834d74c4,,,""
"Publisher","vault.withdrawPublisher",34883,170,0xbff320f74230c4f43115b36b3bd1b5ef023da7564bcf3d8f16fb01113a1aec25,0.14285714285714285,"Weekly earnings withdraw",""
"User","zkStake.depositWith",135185,173,0x987cf7f48636cfe6f741d002f984739f43113f0c4773f8902cba06a1fd2f78dc,0.0027397260273972603,"Onboarding once per year",""
"User","zkStake.requestWithdrawal",77904,174,0xa349439e59b99d177acfa8021f05384306952ecc5ed6ada6e01107d446602e1f,0.0027397260273972603,"Rare unstake",""
"User","reportPage (reason 1)",118390,175,0x003edc92f1692e90d030dded841a631f577a4782029c828ba572a0d2b6916dff,0.03333333333333333,"~1 report per active user per month",""
"User","settlement.setUserMinAssurance",48328,176,0xe11a22943bb7d0a3575adca6de67a79c09af0e9502c33143b14f5d5779b3bb80,0.0027397260273972603,"Set once on signup",""
"User","vault.withdrawUser",35499,177,0x7d89c1e9fd29c55dbd1c35aab9bde29f7856b52de1dcee1c6490cfb49a5551ea,0.03333333333333333,"Monthly micropayment claim",""
"Reporter V1","stakeRoot.commitStakeRoot (threshold 1)",191605,180,0xb044d8e813576ffe661f2a194b9a7fab4760362e10407b172525019cef594a40,24,"Hourly epoch (testnet 1-of-1)",""
"Reporter V1","commitStakeRoot (first signer, 2-of-N)",127764,183,0xbfcdb98ed485ab59cabf7b4017f4f76e76d65ecf040882ede211acaed10d74fb,24,"Each reporter posts every epoch",""
"Reporter V1","commitStakeRoot (cosigner finalises)",113566,184,0x698cfeefafb67f6f8ea6434b3e9a201ce823340d7c926beaf2f8d0f026f0337e,24,"Each reporter cosigns every epoch",""
"Reporter V2","stakeRootV2.joinReporters",164844,185,0x9d35eddcb0704f4ce771b13918fec91cf6386dc94760c7be7a14b28299c26084,0.0027397260273972603,"One-time onboarding",""
"Reporter V2","stakeRootV2.proposeRoot",251076,216,0xfea4690706caf67847479355899b5e5cfef6937dd4ef396f28cd0f09d691e5a4,24,"1 propose per epoch",""
"Reporter V2","stakeRootV2.approveRoot",103157,218,0x68de20c5a798ee5ee5bdfe7f147918f1771577cbe320f04133266da1243e48f3,24,"Approve every epoch",""
"Reporter V2","stakeRootV2.finalizeRoot",106437,241,0x58d27db9570d4c692dd6124100a062580c1b08175e58f133d6ec9f2824fcdd82,24,"Finalize once per epoch (anyone)",""
"Voter","governance.vote (aye)",215824,243,0xf8f79700c782bf344442000cb58cde9496db78a2bbb50e983756bb92898734fd,0.14285714285714285,"1 aye vote per week",""
"Voter","governance.vote (nay)",238043,245,0x4a393c61e36d461340861bb8fb52c1b0afabc915623b5ab6673771527ada180c,0.03333333333333333,"Nays rarer than ayes",""
"Voter","governance.evaluateCampaign",73848,279,0x69f078cc9d8b27c441a81a80f3b11097956afe6cba2037fbd4b715b7e4982343,0.14285714285714285,"Public-service activation call after quorum",""
"Council","council.propose",338338,,,0.03333333333333333,"1 proposal per member per month",""
"Council","council.vote",79033,282,0x680ef16c01b0c0b4be2cb941f6b770237370f14b30cd450df6f026ae43fd7442,0.07142857142857142,"Bi-weekly votes",""
"Council","council.execute",132301,404,0x357ffcc056af1f7608188fece103ef37f99fdf64cdfae80bd4a96a3a41e24211,0.03333333333333333,"1 execution per month",""
"Curator","curator.blockAddr",73034,407,0x3693f5c2a085bf4edebce67758cc9c044cf187e2067c2f4399bdf494c8326fc9,0.14285714285714285,"1 blocklist update per week",""
"Curator","curator.unblockAddr",30500,408,0xe66f0c190656ed021801b91b3fb12d143d35a19f58fbfb9643a0d5c3fa71c5b4,0.03333333333333333,"Unblocks rarer than blocks",""
"Challenger","stakeRootV2.registerCommitment",122672,409,0x4a489f72530edb7932b41e8ecc0ea85026a2cdacef215b51bf6c0c78c0a0c35f,0.03333333333333333,"User-driven; modest steady state",""
"Challenger","stakeRootV2.challengePhantomLeaf",0,,,0.011111111111111112,"Rare; only on fraudulent root","SKIPPED: requires constructed phantom-leaf Merkle proof; measure separately"
"Admin","pauseRegistry.pause (owner)",170543,410,0xee35d4f644f79310b3fe3282ed1fdcb2ae2649dca6d1c8bb6a7c69182cac9e45,0.005555555555555556,"Twice per year (incident response)",""
"Admin","pauseRegistry.proposeCategoryUnpause",142517,,,0.005555555555555556,"Once per pause incident",""
"Admin","pauseRegistry.approve (unpause)",117012,412,0xbc6ef5352f8703cf72df9e5630c14feeeed1ad76a3423644df43384ed0e74c76,0.005555555555555556,"Co-signer on each unpause",""
